Page Number,School Name,Address 1,Address 2,City,State,Zip,Phone,Principal Name,School Website,District,Grades Served,Data Quality Score,Data Quality Issues
15,ACADEMY EARLY CHILDHOOD CENTER,"311 N Bumblebee Dr, Little River, TX 76554",311 N Bumblebee Dr,Little River,TX,76554,(254) 982-4621,Mrs Kelli Schwake,http://www.academyisd.net/,Academy ISD,Prekindergarten - Grade 2,100,
16,ACADEMY AT CARRIE F THOMAS,"8200 O'brian Way, North Richland Hills, TX 76180",8200 O'brian Way,North Richland Hills,TX,76180,(817) 547-3000,Dr Sabrina Lindsey,http://www.birdvilleschools.net/,Birdville ISD,Prekindergarten - Grade 5,100,
17,ACADEMY AT NOLA DUNN,"201 S Dobson St, Burleson, TX 76028",201 S Dobson St,Burleson,TX,76028,(817) 245-3300,Mr Michael Utterback,http://academy.burlesonisd.net/,Burleson ISD,Kindergarten - Grade 5,100,
18,ACADEMY OF DALLAS,"2324 S Vernon Ave, Dallas, TX 75224",2324 S Vernon Ave,Dallas,TX,75224,(214) 371-9600,Ronny Young,http://academyofdallas.com/,Academy of Dallas,Prekindergarten - Grade 8,100,
19,ACCELERATED INTERDISCIPLINARY ACAD,"12825 Summit Rdg Dr, Houston, TX 77085",12825 Summit Rdg Dr,Houston,TX,77085,(713) 728-9330,Drechelle Edwards,http://www.aiacharterschools.org/,Accelerated Intermediate Academy,Prekindergarten - Grade 6,100,
20,ACHZIGER ELEM,"3300 Ridgeranch Rd, Mesquite, TX 75181",3300 Ridgeranch Rd,Mesquite,TX,75181,(972) 290-4180,Mrs Robin Cathcart,http://www.mesquiteisd.org/,Mesquite ISD,Early Education - Grade 5,100,
21,ACTON ELEM,"3200 Acton Rd, Granbury, TX 76049",3200 Acton Rd,Granbury,TX,76049,(817) 408-4200,Mrs Maggie Walton,http://www.granburyisd.org/,Granbury ISD,Kindergarten - Grade 5,100,
22,ADA MAE FAUBION ELEM,"1209 Cypress Creek Rd, Cedar Park, TX 78613",1209 Cypress Creek Rd,Cedar Park,TX,78613,(512) 570-7500,Staci Cordell,Not Found,Leander ISD,Early Education - Grade 5,90,School Website not available
23,ADAM ELEM,"11303 Honeygrove Ln, Houston, TX 77065",11303 Honeygrove Ln,Houston,TX,77065,(281) 897-4485,Ms Carrie Mccollister,http://www.cfisd.net/,Cypress-Fairbanks ISD,Early Education - Grade 5,100,
24,ADAMS ELEM,"1492 Is Grove Rd, Cleburne, TX 76031",1492 Is Grove Rd,Cleburne,TX,76031,(817) 202-2000,Brandi Geltmeier,http://c-isd.com/,Cleburne ISD,Prekindergarten - Grade 5,100,
25,ADAMS ELEM,"2220 Sherry St, Arlington, TX 76010",2220 Sherry St,Arlington,TX,76010,(682) 867-2130,Nathan Tave,http://www.aisd.net/adams-elementary,Arlington ISD,Early Education - Grade 6,100,
26,ADAMS HILL ELEM,"9627 Adams Hill Dr, San Antonio, TX 78245",9627 Adams Hill Dr,San Antonio,TX,78245,(210) 397-1400,Ms Annette Castillo-Robinson,http://nisd.net/,Northside ISD,Prekindergarten - Grade 5,100,
27,ADELFA BOTELLO CALLEJO ELEM,"7817 Military Pkwy, Dallas, TX 75227",7817 Military Pkwy,Dallas,TX,75227,(972) 749-5700,Christie L Samuel,http://www.dallasisd.org/callejo,Dallas ISD,Prekindergarten - Grade 5,100,
28,ADELLE TURNER ELEM,"5505 S Polk St, Dallas, TX 75232",5505 S Polk St,Dallas,TX,75232,(972) 794-6300,Michael D Nickson,http://www.dallasisd.org/turner,Dallas ISD,Prekindergarten - Grade 5,100,
29,ADRIAN SCHOOL,"301 Matador Dr, Adrian, TX 79001",301 Matador Dr,Adrian,TX,79001,(806) 538-6203,Dawn Brooks,http://adrianisd.net/,Adrian ISD,Prekindergarten - Grade 12,100,
30,ADVANCED LEARNING ACADEMY,"621 W Euclid, San Antonio, TX 78212",621 W Euclid,San Antonio,TX,78212,(210) 738-9763,Emily K Bieser,http://schools.saisd.net/page/026.homepage,San Antonio ISD,Prekindergarten - Grade 12,100,
